file,column,definition
casstudy_syms,time_last_continuous,"Timestamp of that print, so a stale reference is visible."
casstudy_syms,n_trades_continuous,"Number of priced records up to 17:45 HKT."
casstudy_syms,px_auction_close,"First price inside [17:58; 18:00] HKT - the auction print. Order entry stops at a random instant in this window, so the print time is exogenous."
casstudy_syms,time_auction_print,"Timestamp of the auction print. Should cluster on one instant across names; a wide spread means the window is catching ordinary trades."
casstudy_syms,vol_close_window,"Volume that printed inside the close window - the auction size for this name."
casstudy_syms,n_trades_close_window,"Number of priced records in the close window."
casstudy_syms,vol_day,"Whole-day traded volume."
casstudy_syms,vol_after_continuous,"Volume from 17:45 HKT to the end of the day."
casstudy_syms,pct_volume_after_continuous,"vol_after_continuous / vol_day * 100 - how much of the day migrated past the end of continuous."
casstudy_syms,pct_volume_in_close_window,"vol_close_window / vol_day * 100 - how much of the day printed in the auction itself. The regressor for 'are the big contributors the names whose flow concentrated there'."
casstudy_syms,px_prev_close,"Previous session's close, from the equity reference table when it carries one. Feeds the whole-day reconciliation only."
casstudy_syms,return_day_bps,"(px_auction_close / px_prev_close - 1) * 10000 - the name's whole-day return, which the reconciliation aggregates into an index return."
casstudy_syms,tick_size,"Exchange tick at the old-rule price (NSE CM bands, 15 Apr 2025): below 250 = 0.01; 250-1000 = 0.05; 1000-5000 = 0.10; 5000-10000 = 0.50; 10000-20000 = 1.00; above 20000 = 5.00."
casstudy_syms,effect_price,"px_auction_close - the old-rule price, in rupees."
casstudy_syms,effect_ticks,"effect_price / tick_size - the effect in exchange ticks. Under one tick is the price grid, not a move."
casstudy_syms,effect_bps,"(px_auction_close / old-rule price - 1) * 10000 - what CAS changed for this name, against the close the old rule would have produced. The core measure."
casstudy_syms,move_vs_last_continuous_bps,"(px_auction_close / px_last_continuous - 1) * 10000. Its gap to effect_bps is stale-last-print bias."
casstudy_syms,close_vs_reference_bps,"(px_auction_close / px_cas_reference - 1) * 10000 - directly comparable to the +/-300 bps band."
casstudy_syms,contribution_bps,"nifty50_weight_pct * effect_bps / covered weight. Sums exactly to the index effect, so a name's number is its share of the answer."
casstudy_syms,contribution_share_pct,"|contribution_bps| as a percent of the gross contribution across all names."
casstudy_index,date,"Trading date."
casstudy_index,group,"NIFTY50, CAS_ALL, NONCAS or NONCAS_MATCHED (the control restricted to the CAS group's p10-p90 of day volume)."
casstudy_index,n_syms,"Names in the group."
casstudy_index,n_with_both_prices,"Names with status = ok, i.e. the ones every statistic below is computed on."
casstudy_index,index_weight_covered_pct,"Sum of index weight behind the weighted number. Everything is renormalised over it."
casstudy_index,effect_bps_index_weighted,"The index effect: sum(weight * effect_bps) / sum(weight). The headline answer for NIFTY50."
casstudy_index,effect_bps_mean,"Equal-weighted mean effect across names - what the average name did, as opposed to what the index did."
casstudy_index,effect_bps_median,"Median effect, robust to a single outlier name."
casstudy_index,effect_bps_std,"Dispersion of the effect across names."
casstudy_index,effect_abs_bps_mean,"Mean absolute effect - how much the mechanism moves prices regardless of direction."
casstudy_index,effect_abs_ticks_mean,"Mean absolute effect in ticks, comparable across price levels."
casstudy_index,pct_names_moved_ge_1_tick,"Share of names whose effect is at least one tick - i.e. moved at all rather than sat on the grid."
casstudy_index,pct_volume_after_continuous_mean,"Mean share of the day's volume that traded after continuous ended."
casstudy_index,window_shift_bps_mean,"Mean window_shift_bps. On the control groups this is the artefact yardstick."
casstudy_index,n_up,"Names with a positive effect."
casstudy_index,n_down,"Names with a negative effect."
casstudy_index,n_flat,"Names whose effect is exactly zero."
casstudy_index,control_drift_bps,"The matched control group's mean effect - market drift over the same clock window with no auction involved."
casstudy_index,effect_bps_net_of_control_drift,"The group's effect minus control_drift_bps. The auction-specific part."
casstudy_index,index_level,"Official NIFTY 50 close supplied via --index-level, used to convert bps into points."
casstudy_index,index_effect_points,"effect_bps_index_weighted / 10000 * index_level - the index effect in points."
casstudy_index,effect_bps_stderr,"Cross-sectional standard error of the effect across the group's names. An effect smaller than about twice this is not distinguishable from zero on this day."
